102 500
100 91 1
1 4 1
1 22 1
1 37 1
1 41 1
1 70 1
2 21 1
2 31 1
2 37 1
2 38 1
2 43 1
3 36 1
3 40 1
3 69 1
4 5 1
4 17 1
4 19 1
4 21 1
4 29 1
4 39 1
4 52 1
4 57 1
4 61 1
4 87 1
5 21 1
5 43 1
5 82 1
5 96 1
9 73 1
9 82 1
10 24 1
10 27 1
10 69 1
11 32 1
11 37 1
11 69 1
11 70 1
11 86 1
12 7 1
12 16 1
12 21 1
12 31 1
12 49 1
12 64 1
12 77 1
12 88 1
13 16 1
13 26 1
13 46 1
13 64 1
13 73 1
14 7 1
15 14 1
15 16 1
15 46 1
15 54 1
15 56 1
15 57 1
15 76 1
15 94 1
15 99 1
16 6 1
16 33 1
16 99 1
17 8 1
17 9 1
17 42 1
17 43 1
17 47 1
17 68 1
17 87 1
17 95 1
17 98 1
18 5 1
18 32 1
18 36 1
18 38 1
18 41 1
18 43 1
18 44 1
18 46 1
18 71 1
18 73 1
18 94 1
19 3 1
19 21 1
19 24 1
19 26 1
19 28 1
19 32 1
19 39 1
19 64 1
19 91 1
19 98 1
20 6 1
20 7 1
20 26 1
20 40 1
20 72 1
20 84 1
21 62 1
21 64 1
21 83 1
21 90 1
22 5 1
22 14 1
22 16 1
22 20 1
22 41 1
22 66 1
22 82 1
22 98 1
23 8 1
23 12 1
23 34 1
23 36 1
23 72 1
23 80 1
23 83 1
23 84 1
23 99 1
25 21 1
25 26 1
25 36 1
25 52 1
25 56 1
25 64 1
25 67 1
25 84 1
25 92 1
25 95 1
25 96 1
25 99 1
26 3 1
26 36 1
26 64 1
27 100 1
27 6 1
28 6 1
28 40 1
28 69 1
29 2 1
29 24 1
29 33 1
29 44 1
29 64 1
30 17 1
30 27 1
30 46 1
30 50 1
30 54 1
30 69 1
30 77 1
30 80 1
30 82 1
30 93 1
30 95 1
30 98 1
30 99 1
31 3 1
31 70 1
31 74 1
33 69 1
34 2 1
34 4 1
34 14 1
34 17 1
34 32 1
34 36 1
34 45 1
34 50 1
34 55 1
34 68 1
34 80 1
34 91 1
34 94 1
34 96 1
35 5 1
35 6 1
35 49 1
35 56 1
35 61 1
35 69 1
35 74 1
35 92 1
36 33 1
36 57 1
36 61 1
36 64 1
36 85 1
36 91 1
37 100 1
37 14 1
37 21 1
37 28 1
37 33 1
37 40 1
37 96 1
38 82 1
38 90 1
39 6 1
39 16 1
39 57 1
39 91 1
41 14 1
41 65 1
41 73 1
41 74 1
41 86 1
42 3 1
42 7 1
42 44 1
42 58 1
42 67 1
42 70 1
42 90 1
43 28 1
43 40 1
43 62 1
43 69 1
44 55 1
45 5 1
45 38 1
45 40 1
45 42 1
45 57 1
45 64 1
45 76 1
45 83 1
46 27 1
46 32 1
46 85 1
47 21 1
47 49 1
47 77 1
47 99 1
48 100 1
48 27 1
48 40 1
48 45 1
48 49 1
48 51 1
48 71 1
48 86 1
48 94 1
50 100 1
50 28 1
50 46 1
50 52 1
50 72 1
50 88 1
51 12 1
51 36 1
51 45 1
51 66 1
51 87 1
52 100 1
52 24 1
52 33 1
52 56 1
52 58 1
52 86 1
52 96 1
52 98 1
53 38 1
53 55 1
53 64 1
53 65 1
53 71 1
53 82 1
53 90 1
54 46 1
54 55 1
54 68 1
54 69 1
54 70 1
54 92 1
55 39 1
55 43 1
55 64 1
55 74 1
55 90 1
55 98 1
56 16 1
56 91 1
56 99 1
57 24 1
58 21 1
58 38 1
58 43 1
59 14 1
59 24 1
59 27 1
59 45 1
59 51 1
59 69 1
59 70 1
59 96 1
59 97 1
59 98 1
60 62 1
60 74 1
61 7 1
61 49 1
61 62 1
62 40 1
63 100 1
63 20 1
63 29 1
63 36 1
63 44 1
63 58 1
63 69 1
63 70 1
63 77 1
63 84 1
63 86 1
63 90 1
63 99 1
64 32 1
65 27 1
65 58 1
65 61 1
65 89 1
66 14 1
66 41 1
66 62 1
66 82 1
66 93 1
67 57 1
67 65 1
67 71 1
67 76 1
68 3 1
68 18 1
68 24 1
68 27 1
68 35 1
68 36 1
68 58 1
68 80 1
68 92 1
70 40 1
70 49 1
70 56 1
70 57 1
70 64 1
70 98 1
71 6 1
71 9 1
71 14 1
71 31 1
71 32 1
71 49 1
71 98 1
72 32 1
72 40 1
73 49 1
73 64 1
74 100 1
74 24 1
74 38 1
74 57 1
75 100 1
75 7 1
75 56 1
75 74 1
75 90 1
76 14 1
76 27 1
76 33 1
76 56 1
76 64 1
76 72 1
77 14 1
77 27 1
77 32 1
77 36 1
77 38 1
77 49 1
77 91 1
78 100 1
78 10 1
78 22 1
78 30 1
78 35 1
78 51 1
78 75 1
79 3 1
79 9 1
79 13 1
79 15 1
79 24 1
79 40 1
79 45 1
79 47 1
79 83 1
79 84 1
79 96 1
80 44 1
80 53 1
80 60 1
80 65 1
80 75 1
80 85 1
80 91 1
80 93 1
80 96 1
80 99 1
81 11 1
81 14 1
81 20 1
81 32 1
81 33 1
81 42 1
81 45 1
81 55 1
81 73 1
81 74 1
81 77 1
81 84 1
81 89 1
81 92 1
82 32 1
82 49 1
83 8 1
83 16 1
83 49 1
83 62 1
83 77 1
83 82 1
84 7 1
84 27 1
84 38 1
84 40 1
84 43 1
84 60 1
84 61 1
84 70 1
85 7 1
85 24 1
86 6 1
86 14 1
86 38 1
87 10 1
87 47 1
87 49 1
87 98 1
88 8 1
88 19 1
88 71 1
89 24 1
89 72 1
89 85 1
92 49 1
92 53 1
92 58 1
92 61 1
92 70 1
92 77 1
92 80 1
92 84 1
92 89 1
93 7 1
93 11 1
93 19 1
93 24 1
93 39 1
93 64 1
93 94 1
94 11 1
94 37 1
94 57 1
94 65 1
94 75 1
94 90 1
94 98 1
95 24 1
95 33 1
95 60 1
95 65 1
95 71 1
95 85 1
96 9 1
96 26 1
96 75 1
97 10 1
97 11 1
97 20 1
97 47 1
97 53 1
97 57 1
97 65 1
97 91 1
98 7 1
98 28 1
98 60 1
98 61 1
98 77 1
98 86 1
14 14 5 7 16 20 3 5 10 3 13 14 10 13 2 13 15 7 5 2 12 7 16 14 1 13 2 2 14 6 17 17 7 4 8 17 12 9 6 2 19 18 6 18 3 9 4 13 11 10 16 20 13 11 13 5 12 19 20 14 14 1 16 3 20 14 20 7 15 12 16 12 5 3 4 11 15 11 5 18 6 16 6 20 14 10 4 15 19 9 6 9 16 20 1 5 5 10 12 7
0 0
__________________________________________
Output:

237
23 34 4 17 68 35 92 80 93 94 65 58 21 83 77 36 85 24

Task	EC	LC	Slack
1	14	20	6
2	55	138	83
3	168	192	24
4	27	27	0
5	73	159	86
6	214	237	23
7	226	237	11
8	182	237	55
9	160	204	44
10	49	215	166
11	133	147	14
12	50	107	57
13	15	174	159
14	205	234	29
15	7	31	24
16	190	215	25
17	42	42	0
18	56	100	44
19	105	159	54
20	27	135	108
21	171	171	0
22	21	70	49
23	16	16	0
24	237	237	0
25	1	57	56
26	163	187	24
27	194	217	23
28	167	217	50
29	41	124	83
30	17	27	10
31	130	155	25
32	234	237	3
33	216	222	6
34	20	20	0
35	57	57	0
36	209	209	0
37	145	159	14
38	201	204	3
39	121	202	81
40	226	237	11
41	75	120	45
42	60	100	40
43	165	215	50
44	102	154	52
45	39	82	43
46	65	209	144
47	50	159	109
48	13	54	41
49	234	237	3
50	30	107	77
51	36	70	34
52	50	140	90
53	97	120	23
54	28	42	14
55	115	167	52
56	159	202	43
57	221	223	2
58	159	159	0
59	20	54	34
60	169	192	23
61	223	226	3
62	224	235	11
63	16	110	94
64	212	220	8
65	140	140	0
66	50	84	34
67	80	120	40
68	49	49	0
69	231	237	6
70	145	167	22
71	113	138	25
72	171	220	49
73	165	217	52
74	172	195	23
75	154	192	38
76	91	197	106
77	192	192	0
78	11	21	10
79	5	29	24
80	84	84	0
81	6	57	51
82	217	220	3
83	177	177	0
84	86	155	69
85	223	223	0
86	165	195	30
87	46	155	109
88	65	122	57
